# Header information on force file

CH3-CO
N 2000  R        0.006000       12.000000
   57      0.34200000    109.22172300     82.78303000
   58      0.34800000    108.85604800     82.60902900
   59      0.35400000    108.49037200     82.43502900
   60      0.36000000    108.12469700     82.26102800
   61      0.36600000    107.75902200     82.08702700
   62      0.37200000    107.39334600     81.91302700
   63      0.37800000    107.02767100     81.73902600
   64      0.38400000    106.66199500     81.56502600
   65      0.39000000    106.29632000     81.39102500
   66      0.39600000    105.93064500     81.21702400
   67      0.40200000    105.56496900     81.04302400
   68      0.40800000    105.19929400     80.86902300
   69      0.41400000    104.83361800     80.69502300
   70      0.42000000    104.46794300     80.52102200
   71      0.42600000    104.10226800     80.34702100
   72      0.43200000    103.73659200     80.17302100
   73      0.43800000    103.37091700     79.99902000
   74      0.44400000    103.00524100     79.82502000
   75      0.45000000    102.63956600     79.65101900
   76      0.45600000    102.27389100     79.47701800
   77      0.46200000    101.90821500     79.30301800
   78      0.46800000    101.54254000     79.12901700
   79      0.47400000    101.17686400     78.95501700
   80      0.48000000    100.81118900     78.78101600
   81      0.48600000    100.44551400     78.60701500
   82      0.49200000    100.07983800     78.43301500
   83      0.49800000     99.71416300     78.25901400
   84      0.50400000     99.34848700     78.08501400
   85      0.51000000     98.98281200     77.91101300
   86      0.51600000     98.61713700     77.73701200
   87      0.52200000     98.25146100     77.56301200
   88      0.52800000     97.88578600     77.38901100
   89      0.53400000     97.52011000     77.21501100
   90      0.54000000     97.15443500     77.04101000
   91      0.54600000     96.78876000     76.86700900
   92      0.55200000     96.42308400     76.69300900
   93      0.55800000     96.05740900     76.51900800
   94      0.56400000     95.69173300     76.34500800
   95      0.57000000     95.32605800     76.17100700
   96      0.57600000     94.96038300     75.99700600
   97      0.58200000     94.59470700     75.82300600
   98      0.58800000     94.22903200     75.64900500
   99      0.59400000     93.86335600     75.47500500
  100      0.60000000     93.49768100     75.30100400
  101      0.60600000     93.13200600     75.12700300
  102      0.61200000     92.76633000     74.95300300
  103      0.61800000     92.40065500     74.77900200
  104      0.62400000     92.03497900     74.60500200
  105      0.63000000     91.66930400     74.43100100
  106      0.63600000     91.30362900     74.25700000
  107      0.64200000     90.93795300     74.08300000
  108      0.64800000     90.57227800     73.90899900
  109      0.65400000     90.20660200     73.73499900
  110      0.66000000     89.84092700     73.56099800
  111      0.66600000     89.47525200     73.38699700
  112      0.67200000     89.10957600     73.21299700
  113      0.67800000     88.74390100     73.03899600
  114      0.68400000     88.37822500     72.86499600
  115      0.69000000     88.01255000     72.69099500
  116      0.69600000     87.64687500     72.51699400
  117      0.70200000     87.28119900     72.34299400
  118      0.70800000     86.91552400     72.16899300
  119      0.71400000     86.54984800     71.99499300
  120      0.72000000     86.18417300     71.82099200
  121      0.72600000     85.81849800     71.64699100
  122      0.73200000     85.45282200     71.47299100
  123      0.73800000     85.08714700     71.29899000
  124      0.74400000     84.72147100     71.12499000
  125      0.75000000     84.35579600     70.95098900
  126      0.75600000     83.99012100     70.77698800
  127      0.76200000     83.62444500     70.60298800
  128      0.76800000     83.25877000     70.42898700
  129      0.77400000     82.89309400     70.25498700
  130      0.78000000     82.52741900     70.08098600
  131      0.78600000     82.16174400     69.90698500
  132      0.79200000     81.79606800     69.73298500
  133      0.79800000     81.43039300     69.55898400
  134      0.80400000     81.06471700     69.38498400
  135      0.81000000     80.69904200     69.21098300
  136      0.81600000     80.33336700     69.03698200
  137      0.82200000     79.96769100     68.86298200
  138      0.82800000     79.60201600     68.68898100
  139      0.83400000     79.23634000     68.51498100
  140      0.84000000     78.87066500     68.34098000
  141      0.84600000     78.50499000     68.16697900
  142      0.85200000     78.13931400     67.99297900
  143      0.85800000     77.77363900     67.81897800
  144      0.86400000     77.40796300     67.64497800
  145      0.87000000     77.04228800     67.47097700
  146      0.87600000     76.67661300     67.29697600
  147      0.88200000     76.31093700     67.12297600
  148      0.88800000     75.94526200     66.94897500
  149      0.89400000     75.57958600     66.77497500
  150      0.90000000     75.21391100     66.60097400
