# Header information on force file

CH3-CH3
N 2000  R        0.006000       12.000000
  212      1.27200000     62.13303200     47.91921300
  213      1.27800000     61.84586100     47.80466200
  214      1.28400000     61.55945300     47.69011300
  215      1.29000000     61.27342700     47.57556300
  216      1.29600000     60.98854600     47.46101300
  217      1.30200000     60.70404800     47.34646300
  218      1.30800000     60.42031200     47.23191200
  219      1.31400000     60.13734100     47.11736300
  220      1.32000000     59.85475100     47.00281300
  221      1.32600000     59.57330700     46.88826300
  222      1.33200000     59.29224500     46.77371300
  223      1.33800000     59.01194600     46.65916200
  224      1.34400000     58.73241100     46.54461300
  225      1.35000000     58.45325800     46.43006300
  226      1.35600000     58.17525000     46.31551300
  227      1.36200000     57.89762500     46.20096300
  228      1.36800000     57.62076200     46.08641200
  229      1.37400000     57.34466400     45.97186300
  230      1.38000000     57.06894700     45.85731300
  231      1.38600000     56.79437600     45.74276300
  232      1.39200000     56.52018700     45.62821300
  233      1.39800000     56.24676200     45.51366200
  234      1.40400000     55.97410000     45.39911300
  235      1.41000000     55.70181900     45.28456300
  236      1.41600000     55.43068400     45.17001300
  237      1.42200000     55.15993200     45.05546300
  238      1.42800000     54.88994200     44.94091200
  239      1.43400000     54.62071700     44.82636300
  240      1.44000000     54.35187400     44.71181300
  241      1.44600000     54.08417600     44.59726300
  242      1.45200000     53.81685900     44.48271300
  243      1.45800000     53.55030700     44.36816200
  244      1.46400000     53.28451800     44.25361300
  245      1.47000000     53.01911100     44.13906300
  246      1.47600000     52.75484900     44.02451300
  247      1.48200000     52.49097000     43.90996300
  248      1.48800000     52.22785300     43.79541200
  249      1.49400000     51.96550100     43.68086300
  250      1.50000000     51.70353000     43.56631300
  251      1.50600000     51.44270500     43.45176300
  252      1.51200000     51.18226100     43.33721300
  253      1.51800000     50.92258200     43.22266200
  254      1.52400000     50.66366600     43.10811300
  255      1.53000000     50.40513200     42.99356300
  256      1.53600000     50.14774300     42.87901300
  257      1.54200000     49.89073700     42.76446300
  258      1.54800000     49.63449300     42.64991200
  259      1.55400000     49.37901400     42.53536300
  260      1.56000000     49.12391600     42.42081300
  261      1.56600000     48.86996400     42.30626300
  262      1.57200000     48.61639400     42.19171300
  263      1.57800000     48.36358700     42.07716200
  264      1.58400000     48.11154400     41.96261300
  265      1.59000000     47.85988300     41.84806300
  266      1.59600000     47.60936700     41.73351300
  267      1.60200000     47.35923400     41.61896300
  268      1.60800000     47.10986300     41.50441200
  269      1.61400000     46.86125700     41.38986300
  270      1.62000000     46.61303200     41.27531300
  271      1.62600000     46.36595300     41.16076300
  272      1.63200000     46.11925600     41.04621300
  273      1.63800000     45.87332300     40.93166200
  274      1.64400000     45.62815300     40.81711300
  275      1.65000000     45.38336400     40.70256300
  276      1.65600000     45.13972100     40.58801300
  277      1.66200000     44.89646100     40.47346300
  278      1.66800000     44.65396300     40.35891200
  279      1.67400000     44.41223000     40.24436300
  280      1.68000000     44.17087900     40.12981300
  281      1.68600000     43.93067300     40.01526300
  282      1.69200000     43.69084800     39.90071300
  283      1.69800000     43.45178800     39.78616200
  284      1.70400000     43.21349100     39.67161300
  285      1.71000000     42.97557600     39.55706300
  286      1.71600000     42.73880600     39.44251300
  287      1.72200000     42.50241900     39.32796300
  288      1.72800000     42.26679400     39.21341200
  289      1.73400000     42.03193400     39.09886300
  290      1.74000000     41.79745500     38.98431300
  291      1.74600000     41.56412200     38.86976300
  292      1.75200000     41.33117000     38.75521300
  293      1.75800000     41.09898300     38.64066200
  294      1.76400000     40.86755900     38.52611300
  295      1.77000000     40.63651700     38.41156300
  296      1.77600000     40.40662000     38.29701300
  297      1.78200000     40.17710600     38.18246300
  298      1.78800000     39.94835400     38.06791200
  299      1.79400000     39.72036700     37.95336300
  300      1.80000000     39.49276100     37.83881300
  301      1.80600000     39.26630100     37.72426300
  302      1.81200000     39.04022300     37.60971300
  303      1.81800000     38.81490800     37.49516200
  304      1.82400000     38.59035700     37.38061300
  305      1.83000000     38.36618800     37.26606300
  306      1.83600000     38.14316400     37.15151300
  307      1.84200000     37.92052300     37.03696300
  308      1.84800000     37.69864400     36.92241200
  309      1.85400000     37.47753000     36.80786300
  310      1.86000000     37.25679700     36.69331300
  311      1.86600000     37.03721000     36.57876300
  312      1.87200000     36.81800500     36.46421300
  313      1.87800000     36.59956400     36.34966200
  314      1.88400000     36.38188600     36.23511300
  315      1.89000000     36.16458900     36.12056300
  316      1.89600000     35.94843800     36.00601300
  317      1.90200000     35.73267000     35.89146300
  318      1.90800000     35.51766400     35.77691200
  319      1.91400000     35.30342300     35.66236300
  320      1.92000000     35.08956400     35.54781300
  321      1.92600000     34.87685000     35.43326300
  322      1.93200000     34.66451700     35.31871300
  323      1.93800000     34.45294900     35.20416200
  324      1.94400000     34.24214400     35.08961300
  325      1.95000000     34.03172100     34.97506300
  326      1.95600000     33.82244300     34.86051300
  327      1.96200000     33.61354800     34.74596300
  328      1.96800000     33.40541500     34.63141200
  329      1.97400000     33.19804700     34.51686300
  330      1.98000000     32.99106000     34.40231300
  331      1.98600000     32.78521900     34.28776300
  332      1.99200000     32.57975900     34.17321300
  333      1.99800000     32.37506400     34.05866200
  334      2.00400000     32.17113200     33.94411300
  335      2.01000000     31.96758200     33.82956300
  336      2.01600000     31.76517700     33.71501300
  337      2.02200000     31.56315500     33.60046300
  338      2.02800000     31.36189500     33.48591200
  339      2.03400000     31.16140000     33.37136300
  340      2.04000000     30.96128600     33.25681300
  341      2.04600000     30.76231800     33.14226300
  342      2.05200000     30.56373200     33.02771300
  343      2.05800000     30.36590900     32.91316200
  344      2.06400000     30.16885000     32.79861300
  345      2.07000000     29.97217300     32.68406300
  346      2.07600000     29.77664100     32.56951300
  347      2.08200000     29.58149200     32.45496300
  348      2.08800000     29.38710500     32.34041200
  349      2.09400000     29.19348300     32.22586300
  350      2.10000000     29.00024200     32.11131300
  351      2.10600000     28.80814700     31.99676300
  352      2.11200000     28.61643400     31.88221300
  353      2.11800000     28.42548500     31.76766200
  354      2.12400000     28.23529900     31.65311300
  355      2.13000000     28.04549400     31.53856300
  356      2.13600000     27.85683500     31.42401300
  357      2.14200000     27.66855900     31.30946300
  358      2.14800000     27.48104500     31.19491200
  359      2.15400000     27.29429600     31.08036300
  360      2.16000000     27.10792900     30.96581300
  361      2.16600000     26.92270700     30.85126300
  362      2.17200000     26.73786600     30.73671300
  363      2.17800000     26.55379000     30.62216200
  364      2.18400000     26.37047700     30.50761300
  365      2.19000000     26.18754600     30.39306300
  366      2.19600000     26.00576000     30.27851300
  367      2.20200000     25.82435600     30.16396300
  368      2.20800000     25.64371600     30.04941200
  369      2.21400000     25.46384000     29.93486300
  370      2.22000000     25.28434500     29.82031300
  371      2.22600000     25.10599600     29.70576300
  372      2.23200000     24.92802800     29.59121300
  373      2.23800000     24.75082500     29.47666200
  374      2.24400000     24.57438500     29.36211300
  375      2.25000000     24.39832700     29.24756300
  376      2.25600000     24.22341400     29.13301300
  377      2.26200000     24.04888400     29.01846300
  378      2.26800000     23.87511600     28.90391200
  379      2.27400000     23.70211300     28.78936300
  380      2.28000000     23.52949100     28.67481300
  381      2.28600000     23.35801500     28.56026300
  382      2.29200000     23.18692100     28.44571300
  383      2.29800000     23.01659000     28.33116200
  384      2.30400000     22.84702300     28.21661300
  385      2.31000000     22.67783800     28.10206300
  386      2.31600000     22.50979800     27.98751300
  387      2.32200000     22.34214100     27.87296300
  388      2.32800000     22.17524600     27.75841200
  389      2.33400000     22.00911600     27.64386300
  390      2.34000000     21.84336700     27.52931300
  391      2.34600000     21.67876400     27.41476300
  392      2.35200000     21.51454300     27.30021300
  393      2.35800000     21.35108500     27.18566200
  394      2.36400000     21.18839100     27.07111300
  395      2.37000000     21.02607900     26.95656300
  396      2.37600000     20.86491200     26.84201300
  397      2.38200000     20.70412800     26.72746300
  398      2.38800000     20.54410600     26.61291200
  399      2.39400000     20.38484900     26.49836300
  400      2.40000000     20.22597400     26.38381300
  401      2.40600000     20.06824400     26.26926300
  402      2.41200000     19.91089500     26.15471300
  403      2.41800000     19.75431100     26.04016200
  404      2.42400000     19.59849000     25.92561300
  405      2.43000000     19.44305100     25.81106300
  406      2.43600000     19.28875700     25.69651300
  407      2.44200000     19.13484500     25.58196300
  408      2.44800000     18.98169700     25.46741200
  409      2.45400000     18.82931300     25.35286300
  410      2.46000000     18.67731000     25.23831300
